System,ROM Name,Description,ISVERTICAL,FW Reborn,LEGENDS,FW Atarashii,INSERT COIN,FOCUS,FW Atarashii Gems,FW Atarashii Mini,FW Atarashii Micro,Vertical,Year,numberPlayers,ctrlType,Buttons,Simple Manufacturer,Joystick Input,Other Input,Manufacturers,,,1080 Avalanche,1775
arcade,bublboblr,Bubble Bobble 1,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1986,2,4 way,2,Taito,joy2way,,Taito / Romstar license,,,,#N/A
arcade,bublcave,Bubble Bobble 1 Lost Cave,,x,x,x,,,,,,HORIZONTAL,1986,2,4 way,2,Other,joy2way,,hack / Bisboch and Aladar,,,,#N/A
arcade,buckrog,Buck Rogers: Planet of Zoom,x,x,x,x,x,,x,,,HORIZONTAL,1982,1,8 way,3,SEGA,joy8way,,SEGA,,,,#N/A
arcade,bucky,Bucky O'Hare,,x,x,x,,,,,,HORIZONTAL,1992,4,8 way,3,Konami,joy8way,,Konami / Tatsumi,,,,#N/A
arcade,buggyboyjr,Buggy Boy Junior/Speed Buggy,,x,x,x,,,,,,HORIZONTAL,1986,1,analog,1,Other,,pedal / dial,Tatsumi,,,,#N/A
arcade,bwidow,Black Widow,,x,x,x,,,,,,HORIZONTAL,1982,1,twin stick,0,Atari,doublejoy8way,,Atari,,,,#N/A
arcade,bzone,Battle Zone,x,x,x,x,x,,,,,HORIZONTAL,1980,1,twin stick,1,Atari,doublejoyvertical2way,,Atari,,,,#N/A
arcade,cabal,Cabal,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1988,2,8 way,3,Other,joy8way,,TAD Corporation / Tad Corporation,,,,#N/A
arcade,cadash,Cadash,x,x,x,x,x,,,,,HORIZONTAL,1989,2,8 way,2,Taito,joy8way,,Taito,,,,#N/A
arcade,calibr50,Caliber 50,x,x,x,x,x,,,,,VERTICAL,1989,2,8 way,2,Other,joy8way,dial,Athena / Seta,,,,#N/A
arcade,captaven,Captain America & The Avengers,x,x,x,x,x,x,x,x,,HORIZONTAL,1991,4,8 way,2,Data East,joy8way,,Data East,,,,#N/A
arcade,captcomm,Captain Commando,x,x,x,x,x,x,x,x,x,HORIZONTAL,1991,4,8 way,2,Capcom,joy8way,,Capcom,,,,#N/A
arcade,cawing,Carrier Air Wing,x,x,x,x,x,x,x,x,x,HORIZONTAL,1990,2,8 way,3,Capcom,joy8way,,Capcom,,,,#N/A
arcade,ccastles,Crystal Castles,x,x,x,x,x,,,,,HORIZONTAL,1983,2,trackball,3,Atari,,trackball,Atari,,,,#N/A
arcade,cclimber,Crazy Climber,,x,x,x,,,,,,HORIZONTAL,1980,2,twin stick,0,Other,doublejoy8way,,Nichibutsu,,,,#N/A
arcade,centiped,Centipede,x,x,x,x,x,x,MINI,x,x,VERTICAL,1980,1,trackball,1,Atari,joy8way,trackball,Atari,,,,#N/A
arcade,chasehq,Chase H.Q.,x,x,x,x,x,x,x,x,,HORIZONTAL,1988,1,analog,4,Taito,,pedal / paddle / dial,Taito,,,,#N/A
arcade,chelnov,Chelnov: Atomic Runner,x,x,x,x,x,x,x,x,,HORIZONTAL,1988,2,8 way,3,Data East,joy8way,,Data East,,,,#N/A
arcade,chopliftbl,Choplifter,x,x,x,x,x,x,x,x,x,HORIZONTAL,1985,2,8 way,2,SEGA,joy8way,,bootleg,,,,#N/A
arcade,chqflag,Chequered Flag,x,x,x,x,,,,,,VERTICAL,1988,1,analog,2,Konami,,pedal / paddle,Konami,,,,#N/A
arcade,circusc,Circus Charlie,x,x,x,x,x,x,x,x,,VERTICAL,1984,2,4 way,1,Konami,joy2way,,Konami,,,,#N/A
arcade,citycon,City Connection,x,x,x,x,x,,x,,,HORIZONTAL,1985,2,8 way,2,Other,joy8way,,Jaleco,,,,#N/A
arcade,cninja,Caveman Ninja,x,x,x,x,x,x,x,x,,HORIZONTAL,1991,2,8 way,2,Data East,joy8way,,Data East,,,,#N/A
arcade,cobracom,Cobra-Command,,,x,x,,,,,,HORIZONTAL,1988,2,8 way,2,Data East,joy8way,,Data East / SEGA,,,,#N/A
arcade,combatsc,Combat School,,x,x,x,,,,,,HORIZONTAL,1988,2,8 way,2,Konami,joy8way,,Konami,,,,#N/A
